"$P$, мм вд. c.","$z $, дел",$\delta n\cdot10^{-7}$,$\sigma_{\delta n}\cdot10^{-7}$
-1000.0,614.0,258.0,4.0
-900.0,588.0,238.0,4.0
-800.0,521.0,186.0,4.0
-700.0,484.0,157.0,4.0
-600.0,447.0,129.0,4.0
-500.0,411.0,101.0,4.0
-400.0,374.0,72.0,4.0
-300.0,341.0,47.0,4.0
-200.0,309.0,22.0,4.0
-100.0,273.0,-6.0,4.0
0.0,275.0,-4.0,4.0
100.0,196.0,-66.0,4.0
200.0,166.0,-89.0,4.0
300.0,130.0,-117.0,4.0
400.0,104.0,-137.0,4.0
500.0,74.0,-160.0,4.0
600.0,36.0,-189.0,4.0
700.0,3.0,-215.0,4.0
800.0,-69.0,-271.0,4.0
900.0,-140.0,-326.0,4.0
